ticker,date,open,close,change_percent,yoy_return_percent,52w_high,52w_low,pe_ratio,dividend_yield,eps,score
NVDA,2026-06-03,221.68499755859375,216.9600067138672,-2.629925687878131,53.71134162119131,236.5399932861328,137.91748812723765,33.235065,45.0,6.53,60
TSLA,2026-06-03,418.70001220703125,423.0899963378906,-0.15339451349042052,22.89482378351852,498.8299865722656,273.2099914550781,384.69092,0.0,1.1,40
PLTR,2026-06-03,149.6999969482422,145.0800018310547,-4.659260316228054,8.928437000174966,207.52000427246094,118.93000030517578,164.81818,0.0,0.88,50
AI,2026-06-03,11.029999732971191,10.520000457763672,-5.903397400683097,-59.01830764901783,30.110000610351562,7.675000190734863,,0.0,-3.16,50
UPST,2026-06-03,31.860000610351562,30.149999618530273,-6.915714150442525,-40.85916067231159,87.30000305175781,23.96500015258789,73.5,0.0,0.41,40
JNJ,2026-06-03,222.4499969482422,224.63999938964844,0.7851406544897117,49.10819728052382,250.27068397455253,145.40684780124104,26.030127,240.0,8.63,60
UNH,2026-06-03,380.0,385.0,1.8734087427787032,31.417672854405716,404.1499938964844,229.78581520843133,29.03469,234.0,13.26,60
PFE,2026-06-03,25.424999237060547,25.562299728393555,0.048142824658741354,17.124733493741058,28.283138448592776,21.55379301951593,19.517788,673.0,1.31,70
ABBV,2026-06-03,214.8000030517578,218.27499389648438,1.3347261288139358,20.366347838093883,239.13390543920303,175.99637231209275,106.47561,321.0,2.05,50
LLY,2026-06-03,1059.5,1079.31005859375,1.4246143712710855,44.77543511023404,1149.0999755859375,619.3984502312096,38.273407,65.0,28.2,60
AAPL,2026-06-03,314.17498779296875,315.6499938964844,0.14276068274945555,55.902126346630176,316.94000244140625,194.2991796996429,38.214283,34.0,8.26,60
MSFT,2026-06-03,438.45001220703125,431.6600036621094,-2.186670129811216,-6.018118473381246,551.0484106553389,355.51000344849933,25.740011,82.0,16.77,70
GOOGL,2026-06-03,362.0299987792969,362.1099853515625,0.07184724158122631,118.65784636131538,408.6099853515625,161.63563852290417,27.641983,24.0,13.1,70
META,2026-06-03,602.989990234375,611.77001953125,2.366014847465728,-7.973526978177495,794.3843975355859,520.260009765625,22.254274,35.0,27.49,70
IBM,2026-06-03,318.2950134277344,306.57000732421875,-6.882727244160732,18.478873531985926,332.4599914550781,212.33999633789062,27.15412,204.99999999999997,11.29,70
DIS,2026-06-03,100.43499755859375,100.87000274658203,-0.5324927482761828,-10.223996721104871,123.85203565522283,92.19000244140625,16.1392,148.0,6.25,70
VZ,2026-06-03,47.45000076293945,47.084999084472656,-1.6398576664459554,14.665513977746638,50.9142112431477,37.17614328461985,11.485634,591.0,4.1,70
T,2026-06-03,24.184999465942383,24.0049991607666,-2.5771113823509557,-10.398151396718683,29.135070165247793,22.712292700619045,7.8963814,450.0,3.04,70
CMCSA,2026-06-03,24.71500015258789,24.575000762939453,-1.1066382869568747,-21.030367787023117,32.98139858351537,23.579271919810054,4.818628,531.0,5.1,70
FOX,2026-06-03,58.43000030517578,58.2400016784668,-0.6990619552349028,16.027708455214633,67.81057137405583,47.91871657446521,15.326317,95.0,3.8,70
BA,2026-06-03,216.10000610351562,215.69500732421875,-0.9209874378179805,1.0612447763507422,254.35000610351562,176.77000427246094,85.23715,0.0,2.53,40
CAT,2026-06-03,914.4299926757812,921.760009765625,1.313462397544345,166.6674200584379,931.3499755859375,341.2270130260426,45.835903,66.0,20.11,60
GE,2026-06-03,313.44000244140625,314.114990234375,-1.1346503123748626,26.88456102568591,347.97310029360074,231.0172189903246,39.069027,59.0,8.04,50
HON,2026-06-03,233.89999389648438,234.92999267578125,-0.1275360528872765,12.31757588985965,246.82349932269608,184.82161977006473,37.52875,202.0,6.26,50
RTX,2026-06-03,173.00999450683594,174.6999969482422,0.25249767891447367,29.079474628451457,213.6102078060541,133.30543890986203,32.776737,159.0,5.33,60
XOM,2026-06-03,150.60499572753906,151.67999267578125,1.417488066190253,50.78513160460454,175.22069359950967,98.58741679487991,25.535353,275.0,5.94,60
CVX,2026-06-03,188.88999938964844,188.81500244140625,0.6744864671099675,40.96961165909045,212.76128796319327,131.10880639052795,32.8946,380.0,5.74,50
COP,2026-06-03,117.58999633789062,117.30000305175781,0.3679304313085224,37.854565558617445,134.86769582626377,82.4956633304293,19.881355,287.0,5.9,70
MPC,2026-06-03,265.5799865722656,264.8999938964844,0.699458813566204,66.88178619937872,266.9639892578125,152.93687762008994,17.464426,149.0,15.18,70
EOG,2026-06-03,139.6199951171875,139.7899932861328,0.8731356899195649,28.32121606903952,150.6999092621477,99.85540711266371,13.745329,294.0,10.17,80
NEE,2026-06-03,85.66000366210938,86.27999877929688,0.7002783286461413,24.218240868817627,98.75,65.78723409666566,21.898476,291.0,3.94,70
DUK,2026-06-03,121.33999633789062,123.27999877929688,1.808574207315398,9.301710027900807,133.3377889471218,109.82237122157201,18.966154,352.0,6.5,80
SO,2026-06-03,90.5999984741211,92.20500183105469,1.872720864897343,6.282578214096512,98.76226797530093,82.46411171145235,23.58184,336.0,3.91,60
AEP,2026-06-03,127.19999694824219,129.4600067138672,1.848797177430149,29.884028440626096,138.43463058600236,97.62829634093943,19.150888,299.0,6.76,70
EXC,2026-06-03,45.03499984741211,46.09000015258789,2.4222225613064237,8.8543425859064,50.650001525878906,41.02575101201561,16.882784,373.0,2.73,70
